name,party,status,reason,profileUrl,currentImage,imageSource,imageSourceUrl,preferredSourceType,searchHints,checkedSources,candidatePageUrls,notes
"逢沢一郎","自由民主党・無所属の会","review","face_too_far","","https://upload.wikimedia.org/wikipedia/commons/4/46/Ichir%C5%8D_Aisawa_20230116_geta_zoutei.jpg","wikipedia","https://ja.wikipedia.org/wiki/%E9%80%A2%E6%B2%A2%E4%B8%80%E9%83%8E","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 逢沢一郎 | プロフィール | 顔写真","","",""
"城内実","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 城内実 | プロフィール | 顔写真","","",""
"岸田文雄","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 岸田文雄 | プロフィール | 顔写真","","",""
"北神圭朗","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 北神圭朗 | プロフィール | 顔写真","","",""
"熊田裕通","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 熊田裕通 | プロフィール | 顔写真","","",""
"小泉進次郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 小泉進次郎 | プロフィール | 顔写真","","",""
"小泉龍司","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 小泉龍司 | プロフィール | 顔写真","","",""
"河野太郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 河野太郎 | プロフィール | 顔写真","","",""
"國場幸之助","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 國場幸之助 | プロフィール | 顔写真","","",""
"小寺裕雄","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 小寺裕雄 | プロフィール | 顔写真","","",""
"齋藤健","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 齋藤健 | プロフィール | 顔写真","","",""
"斉藤りえ","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 斉藤りえ | プロフィール | 顔写真","","",""
"佐藤主迪","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 佐藤主迪 | プロフィール | 顔写真","","",""
"塩崎彰久","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 塩崎彰久 | プロフィール | 顔写真","","",""
"繁本護","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 繁本護 | プロフィール | 顔写真","","",""
"柴山昌彦","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 柴山昌彦 | プロフィール | 顔写真","","",""
"下村博文","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 下村博文 | プロフィール | 顔写真","","",""
"鈴木馨祐","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 鈴木馨祐 | プロフィール | 顔写真","","",""
"鈴木淳司","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 鈴木淳司 | プロフィール | 顔写真","","",""
"鈴木貴子","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 鈴木貴子 | プロフィール | 顔写真","","",""
"世耕弘成","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 世耕弘成 | プロフィール | 顔写真","","",""
"瀬戸隆一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 瀬戸隆一 | プロフィール | 顔写真","","",""
"園崎弘道","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 園崎弘道 | プロフィール | 顔写真","","",""
"高市早苗","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 高市早苗 | プロフィール | 顔写真","","",""
"高木啓","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 高木啓 | プロフィール | 顔写真","","",""
"高木宏壽","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 高木宏壽 | プロフィール | 顔写真","","",""
"武井俊輔","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 武井俊輔 | プロフィール | 顔写真","","",""
"田中昌史","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 田中昌史 | プロフィール | 顔写真","","",""
"谷川とむ","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 谷川とむ | プロフィール | 顔写真","","",""
"田畑裕明","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 田畑裕明 | プロフィール | 顔写真","","",""
"田村憲久","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 田村憲久 | プロフィール | 顔写真","","",""
"津島淳","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 津島淳 | プロフィール | 顔写真","","",""
"寺田稔","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 寺田稔 | プロフィール | 顔写真","","",""
"渡海紀三朗","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 渡海紀三朗 | プロフィール | 顔写真","","",""
"冨樫博之","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 冨樫博之 | プロフィール | 顔写真","","",""
"とかしきなおみ","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | とかしきなおみ | プロフィール | 顔写真","","",""
"中川貴元","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 中川貴元 | プロフィール | 顔写真","","",""
"中谷元","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 中谷元 | プロフィール | 顔写真","","",""
"中根一幸","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 中根一幸 | プロフィール | 顔写真","","",""
"中山展宏","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 中山展宏 | プロフィール | 顔写真","","",""
"中山泰秀","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 中山泰秀 | プロフィール | 顔写真","","",""
"仁木博文","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 仁木博文 | プロフィール | 顔写真","","",""
"根本幸典","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 根本幸典 | プロフィール | 顔写真","","",""
"萩生田光一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 萩生田光一 | プロフィール | 顔写真","","",""
"浜田靖一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 浜田靖一 | プロフィール | 顔写真","","",""
"平井卓也","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 平井卓也 | プロフィール | 顔写真","","",""
"平沼正二郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 平沼正二郎 | プロフィール | 顔写真","","",""
"深澤陽一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 深澤陽一 | プロフィール | 顔写真","","",""
"福田達夫","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 福田達夫 | プロフィール | 顔写真","","",""
"福原淳嗣","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 福原淳嗣 | プロフィール | 顔写真","","",""
"藤田洋司","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 藤田洋司 | プロフィール | 顔写真","","",""
"藤原崇","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 藤原崇 | プロフィール | 顔写真","","",""
"船田元","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 船田元 | プロフィール | 顔写真","","",""
"古川禎久","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 古川禎久 | プロフィール | 顔写真","","",""
"星野剛士","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 星野剛士 | プロフィール | 顔写真","","",""
"細田健一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 細田健一 | プロフィール | 顔写真","","",""
"細野豪志","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 細野豪志 | プロフィール | 顔写真","","",""
"松島みどり","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 松島みどり | プロフィール | 顔写真","","",""
"松本洋平","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 松本洋平 | プロフィール | 顔写真","","",""
"三反園訓","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 三反園訓 | プロフィール | 顔写真","","",""
"三谷英弘","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 三谷英弘 | プロフィール | 顔写真","","",""
"三ッ林裕巳","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 三ッ林裕巳 | プロフィール | 顔写真","","",""
"御法川信英","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 御法川信英 | プロフィール | 顔写真","","",""
"宮下一郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 宮下一郎 | プロフィール | 顔写真","","",""
"宗清皇一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 宗清皇一 | プロフィール | 顔写真","","",""
"村上誠一郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 村上誠一郎 | プロフィール | 顔写真","","",""
"村木汀","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 村木汀 | プロフィール | 顔写真","","",""
"森下千里","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 森下千里 | プロフィール | 顔写真","","",""
"簗和生","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 簗和生 | プロフィール | 顔写真","","",""
"山口俊一","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 山口俊一 | プロフィール | 顔写真","","",""
"山口壯","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 山口壯 | プロフィール | 顔写真","","",""
"山本左近","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 山本左近 | プロフィール | 顔写真","","",""
"吉田真次","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 吉田真次 | プロフィール | 顔写真","","",""
"若林健太","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 若林健太 | プロフィール | 顔写真","","",""
"鷲尾英一郎","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 鷲尾英一郎 | プロフィール | 顔写真","","",""
"和田義明","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 和田義明 | プロフィール | 顔写真","","",""
"赤羽一嘉","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 赤羽一嘉 | プロフィール | 顔写真","","",""
"有田芳生","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 有田芳生 | プロフィール | 顔写真","","",""
"伊佐進一","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 伊佐進一 | プロフィール | 顔写真","","",""
"泉健太","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 泉健太 | プロフィール | 顔写真","","",""
"浮島智子","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 浮島智子 | プロフィール | 顔写真","","",""
"大島敦","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 大島敦 | プロフィール | 顔写真","","",""
"岡本三成","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 岡本三成 | プロフィール | 顔写真","","",""
"小川淳也","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 小川淳也 | プロフィール | 顔写真","","",""
"落合貴之","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 落合貴之 | プロフィール | 顔写真","","",""
"河西宏一","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 河西宏一 | プロフィール | 顔写真","","",""
"金子恵美","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 金子恵美 | プロフィール | 顔写真","","",""
"神谷裕","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 神谷裕 | プロフィール | 顔写真","","",""
"河野義博","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 河野義博 | プロフィール | 顔写真","","",""
"菊田真紀子","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 菊田真紀子 | プロフィール | 顔写真","","",""
"金城泰邦","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 金城泰邦 | プロフィール | 顔写真","","",""
"國重徹","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 國重徹 | プロフィール | 顔写真","","",""
"輿水恵一","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 輿水恵一 | プロフィール | 顔写真","","",""
"後藤祐一","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 後藤祐一 | プロフィール | 顔写真","","",""
"斉藤鉄夫","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 斉藤鉄夫 | プロフィール | 顔写真","","",""
"佐藤英道","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 佐藤英道 | プロフィール | 顔写真","","",""
"重徳和彦","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 重徳和彦 | プロフィール | 顔写真","","",""
"階猛","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 階猛 | プロフィール | 顔写真","","",""
"庄子賢一","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 庄子賢一 | プロフィール | 顔写真","","",""
"田嶋要","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 田嶋要 | プロフィール | 顔写真","","",""
"中川康洋","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 中川康洋 | プロフィール | 顔写真","","",""
"長妻昭","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 長妻昭 | プロフィール | 顔写真","","",""
"中野洋昌","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 中野洋昌 | プロフィール | 顔写真","","",""
"西園勝秀","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 西園勝秀 | プロフィール | 顔写真","","",""
"西村智奈美","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 西村智奈美 | プロフィール | 顔写真","","",""
"野間健","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 野間健 | プロフィール | 顔写真","","",""
"山岡達丸","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 山岡達丸 | プロフィール | 顔写真","","",""
"山本香苗","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 山本香苗 | プロフィール | 顔写真","","",""
"吉田宣弘","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 吉田宣弘 | プロフィール | 顔写真","","",""
"笠浩史","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 笠浩史 | プロフィール | 顔写真","","",""
"渡辺創","中道改革連合・無所属","missing","no_image","","","","","official_or_party","衆議院 | 中道改革連合・無所属 | 議員 | 渡辺創 | プロフィール | 顔写真","","",""
"青柳仁士","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 青柳仁士 | プロフィール | 顔写真","","",""
"東徹","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 東徹 | プロフィール | 顔写真","","",""
"阿部圭史","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 阿部圭史 | プロフィール | 顔写真","","",""
"阿部司","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 阿部司 | プロフィール | 顔写真","","",""
"一谷勇一郎","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 一谷勇一郎 | プロフィール | 顔写真","","",""
"市村浩一郎","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 市村浩一郎 | プロフィール | 顔写真","","",""
"伊東信久","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 伊東信久 | プロフィール | 顔写真","","",""
"岩谷良平","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 岩谷良平 | プロフィール | 顔写真","","",""
"梅村聡","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 梅村聡 | プロフィール | 顔写真","","",""
"浦野靖人","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 浦野靖人 | プロフィール | 顔写真","","",""
"うるま譲司","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | うるま譲司 | プロフィール | 顔写真","","",""
"遠藤敬","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 遠藤敬 | プロフィール | 顔写真","","",""
"金村龍那","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 金村龍那 | プロフィール | 顔写真","","",""
"黒田征樹","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 黒田征樹 | プロフィール | 顔写真","","",""
"斎藤アレックス","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 斎藤アレックス | プロフィール | 顔写真","","",""
"関健一郎","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 関健一郎 | プロフィール | 顔写真","","",""
"中司宏","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 中司宏 | プロフィール | 顔写真","","",""
"馬場伸幸","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 馬場伸幸 | プロフィール | 顔写真","","",""
"藤田文武","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 藤田文武 | プロフィール | 顔写真","","",""
"村上智信","日本維新の会","missing","no_image","","","","","official_or_party","衆議院 | 日本維新の会 | 議員 | 村上智信 | プロフィール | 顔写真","","",""
"飯泉嘉門","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 飯泉嘉門 | プロフィール | 顔写真","","",""
"井戸まさえ","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 井戸まさえ | プロフィール | 顔写真","","",""
"臼木秀剛","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 臼木秀剛 | プロフィール | 顔写真","","",""
"岡野純子","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 岡野純子 | プロフィール | 顔写真","","",""
"鈴木義弘","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 鈴木義弘 | プロフィール | 顔写真","","",""
"田中健","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 田中健 | プロフィール | 顔写真","","",""
"玉木雄一郎","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 玉木雄一郎 | プロフィール | 顔写真","","",""
"西岡義高","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 西岡義高 | プロフィール | 顔写真","","",""
"橋本幹彦","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 橋本幹彦 | プロフィール | 顔写真","","",""
"深作ヘスス","国民民主党・無所属クラブ","missing","no_image","","","","","official_or_party","衆議院 | 国民民主党・無所属クラブ | 議員 | 深作ヘスス | プロフィール | 顔写真","","",""
